Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,District Municipality,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,2,3100,No,6200,1,1,9,145,1
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,02. Guardrail, 953. Ad-hoc item (describe under Remarks),BU,50,1080,No,54000,1,1,9,17,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,10. Kerbs / Sidewalks, 207. Clear debris,S1,2,750,m3,1500,1,1,1,67,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,120,750,L,90000,4,4,4,4,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,21. Miscellaneous Items, 613. Repair service hangers (lighting etc),S1,4,6180,No,24720,3,4,1,4,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,60,750,L,45000,4,4,4,9,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,11. Parapet, 459. Paint steel rails,S1,40,750,m2,30000,4,4,1,3,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,12,750,m,9000,4,4,9,100,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,01. Approach Embankment, 359. Replace sidedrain/gutter/downchutes,U2,10,1570,m,15700,3,4,1,6,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,190,950,m,180500,3,4,4,2,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,12,9190,m3,110280,4,4,1,1,1
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4,340,No,1360,1,1,1,74,1
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",BE,20,630,m,12600,3,4,9,71,1
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",BE,120,630,m,75600,3,4,9,12,1
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,5,1080,No,5400,2,4,1,19,1
1089,Riet river bridge,Bridge,Bridge,5/4/2014,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,03. Waterway, 209. Clear siltation,S3,50,630,m3,31500,1,1,1,3,1
1089,Riet river bridge,Bridge,Bridge,5/4/2014,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,UN,1,5380,No,5380,1,1,1,19,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,03. Waterway, 209. Clear siltation,S1,3,630,m3,1890,2,4,9,476,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 104. Concrete (reinforced),U1,3,12270,m3,36810,2,4,9,24,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,2,750,m2,1500,2,4,9,600,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,6,340,No,2040,2,4,4,196,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,11. Parapet, 454. New endblocks,U1,1,15350,No,15350,2,4,4,26,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
109,Revolver Creek,Bridge,Bridge,8/10/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,6,9190,m3,55140,3,4,9,16,1
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,11. Parapet, 465. Repair/replace handrail posts,S2,1,1570,No,1570,2,4,1,64,1
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,18,340,No,6120,2,4,4,65,1
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,2,9190,m3,18380,2,4,4,22,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",60,6180,m,370800,1,1,4,1,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,03. Waterway, 207. Clear debris,"P2,P3",5,750,m3,3750,1,1,4,107,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,06. Abutments, 120. Seal cracks,BU,4,750,m,3000,1,1,4,133,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U2,2,750,m,1500,1,1,4,267,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,08. Surfacing, 501. Crack seal (asphalt),"BU,AS",30,80,m,2400,2,4,4,167,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,11. Parapet, 314. Replace joint sealant,S1,10,340,m,3400,1,1,4,118,1
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,4,750,m,3000,3,4,4,133,1
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,09. Parapets / Handrails, 464. Repair/replace guardrail fixings,AC,7,2290,No,16030,2,4,9,56,1
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,05. Waterway, 404. Remove trees (girth < 500 mm),AC,2,750,No,1500,2,4,4,267,1
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,04. Embankment/s, 504. Repair settlement (asphalt fill),BE,5,9190,m3,45950,2,4,1,2,1
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,03. Waterway, 209. Clear siltation,S1,10,630,m3,6300,1,1,4,63,1
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,16,340,No,5440,1,1,4,74,1
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,11. Parapet, 465. Repair/replace handrail posts,"S1,S2",10,1570,No,15700,1,1,9,57,1
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,1,1,1,9,1
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",BU,60,630,m,37800,1,1,9,24,1
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,05. Waterway, 404. Remove trees (girth < 500 mm),C3,1,750,No,750,2,4,4,533,1
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,08. Guardrails, 455. New guardrail (single and double),AC,160,950,m,152000,3,4,9,6,1
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,2,4,1,9,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,2,9190,m3,18380,2,4,4,22,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,11. Parapet, 464. Repair/replace guardrail fixings,S1,26,2290,No,59540,3,4,16,27,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,08. Surfacing, 502. Resurface or patch,S1,1,750,m2,750,2,4,9,1200,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,8,340,No,2720,2,4,9,331,1
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,08. Surfacing, 502. Resurface or patch,S1,2,750,m2,1500,3,4,9,600,1
1172,1172,Bridge,Bridge,9/20/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,5,9190,m3,45950,2,4,4,9,1
1172,1172,Bridge,Bridge,9/20/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,8,340,No,2720,2,4,1,37,1
1172,1172,Bridge,Bridge,9/20/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,2,3100,m,6200,2,4,1,16,1
1172,1172,Bridge,Bridge,9/20/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,17. Expansion Joints, 953. Ad-hoc item (describe under Remarks),"BU,P1",3,1080,No,3240,2,4,1,31,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,02. Guardrail, 455. New guardrail (single and double),U1,15,950,m,14250,3,4,1,7,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,4,4,1,9,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,36,1220,m,43920,2,4,1,2,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,11. Parapet, 458. New/repair steel railing,S2,5,3100,m,15500,4,4,4,26,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,11. Parapet, 454. New endblocks,S1,2,15350,No,30700,4,4,4,13,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,10. Kerbs / Sidewalks, 207. Clear debris,AS,6,750,m3,4500,1,1,1,22,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U2,150,750,L,112500,3,4,1,1,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,01. Approach Embankment, 201. Clean downchutes/sidedrains,BU,80,150,m,12000,4,4,1,8,1
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,08. Surfacing, 502. Resurface or patch,U2,0.5,750,m2,375,3,4,1,267,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BU,AP",3,1220,m,3660,3,4,4,109,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,11. Parapet, 465. Repair/replace handrail posts,AS,3,1570,No,4710,3,4,4,85,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,S5,3,5380,No,16140,3,4,1,6,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,"S4,S5",2,340,No,680,2,4,9,1324,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,03. Waterway, 405. Remove trees (girth > 500 mm),AS,3,3100,No,9300,3,4,1,11,1
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,01. Approach Embankment, 953. Ad-hoc item (describe under Remarks),BU,1,1080,No,1080,1,1,9,833,1
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,11. Parapet, 104. Concrete (reinforced),AS,60,12270,m3,736200,3,4,9,1,1
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P3,1,750,L,750,2,4,1,133,1
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",50,6180,m,309000,2,4,4,1,1
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,200,950,m,190000,1,1,9,5,1
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,06. Road Slabs, 207. Clear debris,BE,2,750,m3,0,0,0,0,9999999,1
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,11. Top Slab, 953. Ad-hoc item (describe under Remarks),AC,5,1080,No,5400,2,4,1,19,1
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,4,5500,m3,22000,3,4,4,18,1
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,3,4,1,9,1
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,60,950,m,57000,4,4,1,2,1
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,11. Parapet, 113. Concrete (precast),S1,0.2,18420,m3,3684,3,4,1,27,1
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,3,9190,m3,27570,3,4,4,15,1
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,4,340,No,1360,2,4,4,294,1
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,11. Parapet, 464. Repair/replace guardrail fixings,S2,5,2290,No,11450,3,4,4,35,1
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,11. Parapet, 454. New endblocks,S1,1,15350,No,15350,2,4,16,104,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,S1,2,5380,No,10760,2,4,1,9,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,20. Decks and Slabs, 207. Clear debris,S1,1,750,m3,750,2,4,1,133,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,10. Kerbs / Sidewalks, 207. Clear debris,S1,2,750,m3,1500,2,4,9,600,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4,340,No,1360,2,4,9,662,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,08. Surfacing, 502. Resurface or patch,S1,196,750,m2,147000,2,4,9,6,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,2,9190,m3,18380,2,4,9,49,1
1212,1212,Bridge,Bridge,10/3/2019,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,11. Parapet, 464. Repair/replace guardrail fixings,S1,20,2290,No,45800,4,4,16,35,1
1216,1216,Bridge,Bridge,9/18/2017,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,2,750,L,1500,1,1,4,267,1
1216,1216,Bridge,Bridge,9/18/2017,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,1,1,1,9,1
1216,1216,Bridge,Bridge,9/18/2017,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BU,1,1080,No,1080,1,1,1,93,1
1217,Bridge over River,Bridge,Bridge,10/24/2019,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,20,3100,m,62000,1,1,4,6,1
